date,weekday,holiday,holiday_name,rest1,rest2,rest3,rest4,total
1/1/2016,Friday,1,New Year's Day,65,25,67,139,296
1/2/2016,Saturday,0,na,24,39,43,85,191
1/3/2016,Sunday,0,na,24,31,66,81,202
1/4/2016,Monday,0,na,23,18,32,32,105
1/5/2016,Tuesday,0,na,2,15,38,43,98
1/6/2016,Wednesday,0,na,9,11,22,41,83
1/7/2016,Thursday,0,na,15,6,18,30,69
1/8/2016,Friday,0,na,79,32,22,16,149
1/9/2016,Saturday,0,na,44,44,47,99,234
1/10/2016,Sunday,0,na,26,43,49,94,212
1/11/2016,Monday,0,na,9,22,33,37,101
1/12/2016,Tuesday,0,na,6,10,21,20,57
1/13/2016,Wednesday,0,na,1,29,11,24,65
1/14/2016,Thursday,0,na,7,22,20,57,106
1/15/2016,Friday,0,na,32,21,21,21,95
1/16/2016,Saturday,0,na,49,52,50,86,237
1/17/2016,Sunday,0,na,60,25,62,50,197
1/18/2016,Monday,1,Martin Luther King Day,10,19,19,84,132
1/19/2016,Tuesday,0,na,12,27,20,41,100
1/20/2016,Wednesday,0,na,24,19,17,47,107
1/21/2016,Thursday,0,na,37,28,13,28,106
1/22/2016,Friday,0,na,39,55,23,44,161
1/23/2016,Saturday,0,na,42,48,51,47,188
1/24/2016,Sunday,0,na,59,32,64,50,205
1/25/2016,Monday,0,na,34,33,19,9,95
1/26/2016,Tuesday,0,na,9,30,14,23,76
1/27/2016,Wednesday,0,na,5,42,20,38,105
1/28/2016,Thursday,0,na,16,20,22,37,95
1/29/2016,Friday,0,na,57,53,24,16,150
1/30/2016,Saturday,0,na,46,50,45,84,225
1/31/2016,Sunday,0,na,55,15,60,74,204
2/1/2016,Monday,0,na,25,25,31,13,94
2/2/2016,Tuesday,1,Groundhog Day,43,6,19,32,100
2/3/2016,Wednesday,0,na,16,19,16,21,72
2/4/2016,Thursday,0,na,30,6,15,46,97
2/5/2016,Friday,0,na,56,56,24,11,147
2/6/2016,Saturday,0,na,88,36,81,49,254
2/7/2016,Sunday,0,na,65,32,55,25,177
2/8/2016,Monday,0,na,18,6,20,24,68
2/9/2016,Tuesday,0,na,28,17,24,64,133
2/10/2016,Wednesday,0,na,24,19,17,47,107
2/11/2016,Thursday,0,na,34,17,47,78,176
2/12/2016,Friday,0,na,32,36,54,17,139
2/13/2016,Saturday,0,na,75,22,43,87,227
2/14/2016,Sunday,1,Valentine's Day,30,32,47,121,230
2/15/2016,Monday,1,Presidents Day,7,32,30,43,112
2/16/2016,Tuesday,0,na,33,4,17,37,91
2/17/2016,Wednesday,0,na,25,22,21,44,112
2/18/2016,Thursday,0,na,22,30,22,44,118
2/19/2016,Friday,0,na,33,53,29,52,167
2/20/2016,Saturday,0,na,50,59,51,53,213
2/21/2016,Sunday,0,na,21,9,32,85,147
2/22/2016,Monday,0,na,25,2,23,20,70
2/23/2016,Tuesday,0,na,32,11,21,42,106
2/24/2016,Wednesday,0,na,13,21,12,49,95
2/25/2016,Thursday,0,na,37,14,30,49,130
2/26/2016,Friday,0,na,52,41,36,53,182
2/27/2016,Saturday,0,na,84,53,48,113,298
2/28/2016,Sunday,0,na,58,20,63,55,196
2/29/2016,Monday,0,na,53,21,17,22,113
3/1/2016,Tuesday,0,na,7,30,23,37,97
3/2/2016,Wednesday,0,na,13,20,14,21,68
3/3/2016,Thursday,0,na,17,26,17,28,88
3/4/2016,Friday,0,na,56,26,29,24,135
3/5/2016,Saturday,0,na,66,37,60,91,254
3/6/2016,Sunday,0,na,45,37,60,50,192
3/7/2016,Monday,0,na,22,12,25,4,63
3/8/2016,Tuesday,0,na,64,12,24,52,152
3/9/2016,Wednesday,0,na,4,7,19,26,56
3/10/2016,Thursday,0,na,16,25,23,38,102
3/11/2016,Friday,0,na,43,31,33,11,118
3/12/2016,Saturday,0,na,76,43,61,96,276
3/13/2016,Sunday,0,na,53,49,60,26,188
3/14/2016,Monday,0,na,18,3,13,22,56
3/15/2016,Tuesday,0,na,22,15,18,43,98
3/16/2016,Wednesday,0,na,16,22,18,36,92
3/17/2016,Thursday,1,St. Patrick's Day,67,22,65,55,209
3/18/2016,Friday,0,na,63,45,59,17,184
3/19/2016,Saturday,0,na,73,40,44,79,236
3/20/2016,Sunday,0,na,50,32,56,84,222
3/21/2016,Monday,0,na,21,42,31,37,131
3/22/2016,Tuesday,0,na,22,10,22,44,98
3/23/2016,Wednesday,0,na,12,15,14,60,101
3/24/2016,Thursday,0,na,23,14,17,72,126
3/25/2016,Friday,1,Good Friday,75,91,64,41,271
3/26/2016,Saturday,0,na,78,46,59,109,292
3/27/2016,Sunday,1,Easter,25,61,47,104,237
3/28/2016,Monday,1,Easter Monday,35,21,58,44,158
3/29/2016,Tuesday,0,na,58,15,22,70,165
3/30/2016,Wednesday,0,na,23,25,12,43,103
3/31/2016,Thursday,0,na,14,12,25,49,100
4/1/2016,Friday,0,na,36,46,24,19,125
4/2/2016,Saturday,0,na,55,27,50,103,235
4/3/2016,Sunday,0,na,30,20,52,79,181
4/4/2016,Monday,0,na,32,25,23,12,92
4/5/2016,Tuesday,0,na,18,44,22,34,118
4/6/2016,Wednesday,0,na,2,16,18,40,76
4/7/2016,Thursday,0,na,23,16,17,32,88
4/8/2016,Friday,0,na,47,49,22,45,163
4/9/2016,Saturday,0,na,64,16,51,94,225
4/10/2016,Sunday,0,na,53,28,52,30,163
4/11/2016,Monday,0,na,15,8,12,21,56
4/12/2016,Tuesday,0,na,30,12,9,18,69
4/13/2016,Wednesday,0,na,11,12,17,27,67
4/14/2016,Thursday,0,na,7,1,11,23,42
4/15/2016,Friday,0,na,56,52,38,17,163
4/16/2016,Saturday,0,na,80,4,60,31,175
4/17/2016,Sunday,0,na,38,15,41,77,171
4/18/2016,Monday,0,na,3,18,6,27,54
4/19/2016,Tuesday,0,na,11,11,19,40,81
4/20/2016,Wednesday,0,na,20,33,12,22,87
4/21/2016,Thursday,0,na,35,36,22,30,123
4/22/2016,Friday,0,na,28,47,20,48,143
4/23/2016,Saturday,0,na,96,48,39,109,292
4/24/2016,Sunday,0,na,50,22,38,51,161
4/25/2016,Monday,0,na,34,3,12,25,74
4/26/2016,Tuesday,0,na,33,52,11,34,130
4/27/2016,Wednesday,0,na,16,16,18,17,67
4/28/2016,Thursday,0,na,25,65,26,19,135
4/29/2016,Friday,0,na,109,52,20,17,198
4/30/2016,Saturday,0,na,33,53,71,88,245
5/1/2016,Sunday,0,na,49,40,30,96,215
5/2/2016,Monday,0,na,4,22,17,64,107
5/3/2016,Tuesday,0,na,22,16,43,21,102
5/4/2016,Wednesday,0,na,38,16,25,29,108
5/5/2016,Thursday,1,Cinco de Mayo,19,15,54,95,183
5/6/2016,Friday,0,na,37,16,17,32,102
5/7/2016,Saturday,0,na,40,8,39,90,177
5/8/2016,Sunday,1,Mother's Day,48,28,49,115,240
5/9/2016,Monday,0,na,12,7,7,14,40
5/10/2016,Tuesday,0,na,11,15,12,22,60
5/11/2016,Wednesday,0,na,6,19,29,60,114
5/12/2016,Thursday,0,na,6,10,26,36,78
5/13/2016,Friday,0,na,26,48,20,25,119
5/14/2016,Saturday,0,na,71,30,71,63,235
5/15/2016,Sunday,0,na,40,26,58,52,176
5/16/2016,Monday,0,na,17,7,14,18,56
5/17/2016,Tuesday,0,na,9,13,18,13,53
5/18/2016,Wednesday,0,na,44,2,8,34,88
5/19/2016,Thursday,0,na,32,10,12,23,77
5/20/2016,Friday,0,na,44,55,23,20,142
5/21/2016,Saturday,0,na,55,51,54,80,240
5/22/2016,Sunday,0,na,20,32,55,52,159
5/23/2016,Monday,0,na,20,10,14,6,50
5/24/2016,Tuesday,0,na,18,1,13,24,56
5/25/2016,Wednesday,0,na,24,42,30,27,123
5/26/2016,Thursday,0,na,30,23,21,50,124
5/27/2016,Friday,0,na,29,40,30,20,119
5/28/2016,Saturday,0,na,77,46,83,48,254
5/29/2016,Sunday,0,na,33,17,53,51,154
